Id,SalePrice
1,218730.54111495567
2,168556.60365391013
3,219816.53132054996
4,196705.3273855225
5,283720.8968591619
6,146283.4941116446
7,265044.35374306235
8,217339.3576122623
9,190954.35285186552
10,112646.91714430935
11,122049.65557486993
12,307557.8367435809
13,109067.32325830782
14,245347.6821445368
15,155090.65795326768
16,150618.10448316456
17,152205.5620318391
18,108299.54359051927
19,154261.75297847285
20,137127.53120414872
21,286894.9292131907
22,148618.45986427093
23,269789.1562797114
24,141968.25375328452
25,124566.2160865631
26,273239.7180867096
27,121394.96209752175
28,279228.6680777169
29,159510.48481928062
30,49067.630644615914
31,87365.53809450798
32,136197.48554845864
33,229934.8272334496
34,176501.76293851336
35,271702.71656426333
36,285550.5998373249
37,151916.044331439
38,149628.95142840315
39,117378.24138723381
40,67543.31962218655
41,165559.1829468644
42,140228.2811744669
43,127293.79882490472
44,116127.13394999588
45,129073.09838010027
46,285913.6450563945
47,260193.3821741155
48,276437.848949729
49,79597.11286750447
50,118476.30355502391
51,165825.4196227428
52,145594.4040640545
53,130330.14658631955
54,311042.31615847873
55,141533.02200555286
56,181324.83615907232
57,238834.18568349624
58,217577.62521323774
59,355790.0298008371
60,102340.69056849758
61,174778.25522320342
62,96435.10402698899
63,237242.45005274375
64,179749.5669277535
65,225481.21055005782
66,295873.40225426457
67,254923.21760449233
68,227861.18448999478
69,70288.55842600059
70,241930.89358138715
71,262533.8551591659
72,100464.01030596379
73,200540.1308839693
74,136453.96217989674
75,97592.5505693223
76,82934.07067486916
77,89420.18892317213
78,120779.62879837483
79,139988.40984906198
80,108869.6823719851
81,188711.00289346505
82,175296.27004622543
83,253787.23826037272
84,136115.00741296136
85,180704.35499405817
86,277960.03221954365
87,180885.25976982698
88,164211.91396489146
89,84827.1768539351
90,90134.59240910375
91,88943.11440567946
92,149069.62468839873
93,113409.62492336851
94,196953.8205384281
95,188156.26095383873
96,174166.8616328175
97,231246.65838628862
98,99788.74915338025
99,87662.30574159232
100,94822.74622929652
101,194436.65217267143
102,191331.04946079702
103,147213.1839709828
104,209998.8655425638
105,187074.1897688312
106,260021.10256719938
107,73581.36529156988
108,96594.25023064468
109,104412.559005901
110,214865.33754327928
111,170091.54521758697
112,179910.91785717424
113,291389.0601453864
114,228765.58338725613
115,191867.2243354094
116,162429.60891296316
117,125504.34203626741
118,150724.41737326878
119,300961.4514457112
120,182626.57593531933
121,148725.70724718645
122,84284.67933898525
123,140822.03776489804
124,180513.08109759074
125,190923.89135041015
126,87641.43343029168
127,145917.2600210752
128,77794.89172752257
129,154905.76936214895
130,139127.10152277304
131,218974.72752378203
132,211674.83211796434
133,155562.12042480824
134,229727.46381977398
135,177467.58059044284
136,214022.31520038334
137,128071.83503288231
138,257599.3159480896
139,257451.82849691395
140,185570.6096209579
141,74454.08435363116
142,249202.52964467029
143,139940.4463032904
144,226645.9704463432
145,188926.2327821131
146,197871.87949034758
147,94016.91936373455
148,229790.63022306334
149,160562.4252640377
150,122879.59161271458
151,130772.82942419566
152,279090.1316503444
153,190890.1497287358
154,172525.95947676024
155,144538.0792253872
156,99663.44432230262
157,114507.28019584695
158,259828.10399390187
159,235152.9562129355
160,269418.5167288735
161,169667.73694310425
162,337105.71291531064
163,232897.89707471407
164,69221.93076526918
165,147775.85760651669
166,96150.66239585745
167,190705.53911437944
168,302111.08853024046
169,214656.8375803154
170,254697.6194823896
171,139717.68711724406
172,192275.23967006017
173,215732.1905045699
174,178307.4676537655
175,203930.6710064212
176,214279.50996275136
177,218141.9848241244
178,183009.66806987673
179,348884.03756808763
180,129322.07408487897
181,179148.52093037745
182,177933.56646402748
183,120957.8387971774
184,231774.64695401187
185,116845.63955115809
186,359839.24363969045
187,189048.03414780684
188,119209.59380190645
189,157892.0467210286
190,259266.5838326207
191,271878.7665947711
192,186341.00518076788
193,223362.4538951567
194,217467.47931575304
195,110701.50531625959
196,164538.53465279605
197,263750.65755707346
198,290387.67269705253
199,156448.35607492505
200,280543.3852332504
201,124192.33139712087
202,168900.66721286738
203,127096.94311267264
204,157639.7088056746
205,113259.89284507281
206,203334.56279874625
207,165512.291652998
208,106352.86129429727
209,234700.17651691468
210,159582.38694606564
211,80962.04874079421
212,174319.88874338628
213,214763.77624878287
214,140439.77729112262
215,147932.248606236
216,134577.10809069834
217,226403.08372759007
218,96290.57266880893
219,217558.4392232901
220,205416.0197209252
221,228105.1513356574
222,222982.2680235444
223,162517.58954312373
224,102609.46773950865
225,372977.21844029287
226,114818.54147573496
227,275373.5161552815
228,120580.6807965643
229,112470.88725904837
230,228985.8130332004
231,152075.80817581297
232,316221.8510456604
233,121294.05488706131
234,113221.05748768452
235,206846.00199486525
236,120576.50168494442
237,220448.84595420898
238,218259.2566756623
239,279333.52608483547
240,145958.0829234848
241,259093.31483580614
242,81474.73101307593
